Genre,Poem
Music,"I know you knowhow to shame into obediencethe long chain tethering lawnmowerto fence. And in your gardenare no chrysanthemums, no hemof lace from the headscarfI loose for him at my choosing.Around my throat still twines a thin linefrom when, in another life, I wasguillotined. I know you knowhow to slap"
Music,I like literature that makes me think:
Music,"I like to say we left at first light        with Chairman Mao himself chasing us in a police car,my father fighting him off with firecrackers,        even though Mao was already over a decadedead, & my mother says all my father did        during the Cultural Revolution was teach math,which he was"
Music,"I love the whir of the creature cometo visit the pinkflowers in the hanging basket as she doesmost August mornings, hours awayfrom starvation to storeenough energy to survive overnight.The Aztecs saw the refractionof incident light on wingsas resurrection of fallen warriors.In autumn, when daylight decreasesthey double their body weight to"
Music,"I love two dogs, even when they’re killing a baby possum near the columbines, shaking the varmint until the death squeal chokes to a gargle, and both dogs stand before the bloody marsupial nosing it to move, because that’s Nature, right? (And whom did I just ask whether that was right?) (And what’s a moral quandary"
Music,"I never want to get anyMore new things.I wanna wear out these shoes whiteAnd walk on the rug till it's perfectlyColorlessTo wear the shoes darkWalking on an abyss that's been worn outThe shoes carry me,I can’t help it,I fly above the desert with no name"
Music,I told a million lies now it’s time to tell a single truth Sometimes I cry It’s hard dealing with my pride Not knowing whether to fight or flee Sometimes I cry Hard to maintain this image of a tough guy When deep down inside I am terrified If I ever told you I wasn’t scared I
Music,I wake tored sand Isleep herecoral brickhooghaan Iwalk thinrabbit brushtrails side-step earlyautumntarantulas pick desertwhite flowerson full days Iinhale fe-male rainI stop wheelsslow sheepbounce dropsheep shitacross highwayspotholedme I grassnothinghere I meta-grass I sleep-walk grassesopen eyes toblue corn skyto cook upstews chunkshalf-chewed thruI am thissalivatingmouth withouthands with-out arms bent downshamelessface to plate tosome origin(al)hunger awarethat
Music,I was trying to wave to you but you wouldn’t wave back
Music,"I watched in horror as the man hung half a pig by a hook in the window.Nearby, the sea shone or something. Nearby, the wingspan of a hawk cast an elongated shadow.I listened with horror to the words I was missing. A wrongness was growing in the living moon.& nearby, the sea rolled"
Music,I would tell herExcept she wouldn't careI'd write himExcept he'd never write me backThere is a rat they left hangingI'd save itExcept it's deadWhat is the force that swirls meI asked of the windThere was no replyIt was beyond meAnd I was floating in itCircles and circlesI've seen them throughout
Music,I wrote hard on paper at the bottom of a pool near a canyon where the stars slid onto their bellies like fish I wrote:
Music,i. I’ve pulled from my throat birdsong like tin- sheeted lullaby [its vicious coldits hoax of wings] the rest of us forest folk dark angels chafing rabbits- foot for
Music,"I'm few deja-vus from repeating my whole life I need to study the shapes of things before death Before declaring myself a better failure: waiting mostly for files to get uploaded or downloaded. My movements are by the book. I will remember history, all of it, before uttering the next sentence And in its"
Music,"I've been fighting a War Within Myself all my life, Tired of the hurt, the pain, the strife. Anger consumes me from day to day, Cellies now walking on eggshells, unsure of what to say. I do pray each night for the peace that I need in my heart, I need it before I tear"
Music,"I’d have to hear it spoken in mind somehow,my father said, of the Frisian word for hunger,but I’d settle for memory, or grief, underthe category things that undo me. It’s a funnything to think. Who would be the speakerif not him? His mother, maybe,holding hands in the hospital with his"
Music,"I’ll keep explaining—because maybe you still don’t get itThose children in California (substitute any state), dead from gunfire—Let me begin again in a little roof garden with my friendA perverse reader, he listens to my stories as if they were TVI mean he mocks me lovingly on the roof and"
Music,I’m the matron-king of hell In yoga pants and a disused bra for a laurel & shatter the scene inside your simmering year Like a ransom scene filmed through shattered transom I smear in my glamour I make as if to justify the ways of God to man That’s my ticket in That’s why God lets me
Music,"I’m thinking of the boiling seaand the dream in whichall the fish were singing.I want to wake up with my heartnot aching like death,but I am always fallingin to terror. I’m a good person.I grieve to appropriate degrees.I mourn this season. This moment.I mourn for the polar beardrifting out of"
Music,In Memory of Paul Violi (1944–2011) I did not realize that you were fading from sight I don’t believe I could have helped with the transitionYou most likely would have made a joke of it Did you hear about the two
Music,"In the autumn I moved to New York,I recognized her face all over the subwaystations—pearls around her throat, she posesfor her immigration papers. In 1924, the onlyAmericans required to carry identity cardswere ethnically Chinese—the first photo IDs,red targets on the head of every man, woman,child, infant, movie star. Like pallbearers,they"
Music,"In the late eighties, in the middle of middle school we break from studying our ancestors, pass on the Phoenicians for a while, leave the terraced fields of Canaan and the hanging gardens of Babylon"
Music,In the mercy of the more hollow sisterA serene fog of moons sprinkled with plum the vexed haint of Quasimoto is patient her tongue leaps from her mouth like a tombstone three times Smooth as ashher favorite word is 'apothecary' the bliss in me like the interior of a melting fear as she moves
Music,"In this room, hours pass, a slightcorruption of each previousallotted time block—and probablyconfirm failure and humiliation,which though not ideal, I acceptas historically accurate. I’m sickof lifestyle music, the thing betweenawe and detachment which Hazlittdefines as adrift. I clear my throatremind myself, doors are locked,the ashtray half-full. Unless otherwisenoted, light falls"
Music,"it ends my sleep to want my story about my skin melting in the sun that day of summer and a doctor who tells me i am dying, that thing i hide under my nails like dirt scratched from summer skin. so i pick up a pencil and begin to erase myself. erasure is"
Music,"It sweeps away depression and todayyou can’t tell the heaped pin-whitecherry blossoms abloom alongRiverside Drive from the clouds aboveit is all kerfluffle, all moisture and light and sointo the wind I gopast Riverside Church and the FairwayMarket, past the water treatment plantand in the dusky triangle belowa hulk of rusted"
Music,It turns out however that I was deeply Mistaken about the end of the world
Music,it was summer and time circled itself like a swarm of gnats
Music,It’s not the wind I hear driving south through the Catskills—it’s just bad news from the radio and then a hailstorm morphs into sunlight —look up and there’s— an archipelago of starlings trailing some clouds— But how does the wind come through you primordial hollow—unflattened double reed— so even now when bad
Music,"Kasr Avenue was where the birds lived, In a mud silo millet seeds flourished All winter long and through the dry season Laila was in my soul, also Majnoon’s madness. I was a girl growing up and you, crossing the Nile—yes a flat boat is all you had— Came in, trousers wet and"
Music,"Let them come for what’s left: a chorus of bone, river and soot. Worthy enough. Holy enough. Like all the others, singular—or not. Wanting only for your name to bluemy lips and call it miracle. Our love double-knotted, saddle-stitched held the world together. Until it didn’t— all the words you placed in me flushed and"
Music,"Let them not say:   we did not see it.We saw.Let them not say:   we did not hear it.We heard.Let them not say:     they did not taste it.We ate, we trembled.Let them not say:   it was not spoken, not written.We spoke,we witnessed with voices and hands.Let them not say:     they did"
Music,Liquid alignment of fabric and outerthigh. Slip. Which mimics the thing it’s
Music,"Locked in the beauty of the pearl, far from frail,         these people who claim to love us stillthey don’t give up much, do they, sealed? To eradicate class—      the looking glass of it, the complex glare: “Let me introducexxx, impoverished poet.” Winter let up     like a terrible religion. In its"
Music,"Long ago I met a beautiful boyTogether we sleptin my mother's womb Now the street of our fathersrises to eat him :: Everything black is forbidden in EdenIn my arms my brother sleeps, teeth pearlsI give away the night so he can have this slumber :: I give away the man who made me whiteI give away"
Music,Love me stupid. Love me terrible. And when I am no mountain but rather a monsoon of imperfect thunder love me. When I am blue in my face from swallowing myself yet wearing my best heart even if my best heart is a century of hunger an angry mule breathing hard or perhaps even hopeful. A small sun. Little & bright.
Music,"makes me think plurality. Maybe I can love you with many selves. Or. I love all the Porgys. Even as a colloquialism: a queering of love as singular. English is a strange language because I loves and He loves are not both grammarly. I loves you, Porgy. Better to ask what man is not, Porgy. The beauty of Nina’s"
Music,"May I venture to address you, vegetal friend?A lettuce is no less than me, so I respect you,though it’s also true I may make a salad of you,later. That’s how we humans roll. Our speciesis blowing it, bigtime, as you no doubt know,dependent as you are on water and soilwe"
Music,"Maybe silence adds to the pain and maybe pain adds to the sea and maybe the sea is only a reflection of a ruin today where the mind is unable to make out how things used to be for us: complete, with deities, a kind oforder. Oh never mind the ATMsscattered throughout the medieval"
Music,"My brother, wanting to off himself, Took rope into a summer park. Rope, plus a knife For cutting it: a serrated hawkbill, Cushioned grip, with two-inch Curved, ignoble blade The manufacturers in their cruelty call A lightweight Meadowlark. Cruel because the meadowlark Is calm. They’re calm This morning. Sure, they shaggle the corn a bit, But"
Music,My friend a writer and scientisthas retreated to a monasterywhere he has submitted himselfout of exhaustion to not knowing.He’s been thinking aboutthe incarnation a.k.a. Big Bangafter hearing a monk’s teachingthat crucifixion was not the hard partfor Christ. Incarnation was.How to squeeze all of thatall-of-that into a body. I wokethat Easter
Music,my friendscreate the moodby describing itturning off all the lightsa place in our mindswakes as in waterwe dance alone and with each otherwe make circles around each otherget close then step backthen get close againmy friendsthe furniture is roundthe furniture is coveredin bluetsthere are drugs my friendswhy be evasivewhen you
Music,my parents were born from a car. they climbed out & kissed the car on its cheek. my grandmother. to be a first generation person. 23 and Me reports i am descendant of pistons & drive trains. 33% irrigation tools. you are what you do. my first job was in a lunch meat factory. now
Music,my roommate one year in college would say of my smallnessthat any man who found me attractive had a trace of the pedophilic & i would shrinknewly girled twenty-one with my
Music,"My whole life I have obeyed it—its every hunting. I move beneath it as a jaguar moves, in the dark-"
Music,"New moon in midheaven, in Libra. The hermit wields two swords. Temptation overcomes the star. The chariot travails with weakend strength. Death rises to meet every face you meet. Ten wands whittled from prickly ash. Fall in love with a teacher. Build a home on the moon. Grow twinberry and"
Music,"No matter how he wrested himself silent in night, six days post-stroke he woke fluent in former languages, backtracking this time here. Mercy nurses, attendants, remedied in their own. Once he registered, all he cawed out was if it’s too far gone, we need"
Music,No tears No tips No meters No nips [wellmayb] No Lyft No Uber No 1-8hundo But he do wanna kno How yubeen? Where’d yu go? & yu kno yu best talkharder 2 pin his desire Even
Music,"Nobody straightens their hair anymore. Space trips & limited air supplies will get you conscious quick. My shea-buttered braids glow planetary as I turn unconcerned, unburned by the pre-take-off bother. “Leave it all behind,” my mother’d told me, sweeping the last specs of copper thread from her front porch steps & just as"
Music,"Ojhas are [medicine men, “the ones next to God,” religious ministers or priests who deal with the daily struggles of the village people]; this dynamic allows the village ojha to control the circulation of rumors, and he is the village member who has the power to trap daayans (witches). In"
Music,"Onliest man who lay hands on me. Pointer finger pad between my eyes. Pinky knuckle cool on cheekbone. God of precision, blade at my throat,for a half hour, you love me this way. Together we discover what I got from my folks—widows peak, dandruff, hair growing fast in concentric O’s. Claude, so"
Music,"Only through a disaster or a renovationdoes the entire brick side of a house come downand in this case the workmen threw stoves and refrigeratorsout the windows, letting them bounceoff the fire escapes into the little Brooklyn yard.And I wouldn’t presume to saythey did it gleefully, but the brute forceresulting"
Music,"Poem for Aretha Franklin when she opens her mouth our world swells like dawn on the pond when the sun licks the water & the jay garbles, the whole quiet thing coming into tune, the gnats, frogs, the dandelion pollen, the pebbles & leaves"
Music,"ProsperoAssume, just for a moment,I am denied a job in the factory of my dreams under the fluorescent lights of a porcelain white foreman.It’s orderly and neat. I feed my family. No one questions my face. I raised my son in my likeness, so he would never go unseen,bobbing on a wave of expectation, I set in"
Music,Rate your pain the physicaltherapist instructs and I am tryingnot to do what they saywomen do lowballing the numbertrying hard not to try so hardto be the good patient scatteredassurances lining the aisles likedead petals and me leftholding nothing but what’s beenemptied out obviously I am over-thinking it when I
Music,Right to propertyRight to protect propertyEncrypt everythingMake privateI am so right and if I’m not   I’m gonna burn yr FB wall downBe something for saleBe a strategyLast fall was tough on usAsk after meAsk after me againSmall business ownersBig pharmaThere are said to be 7000   bodies buried under   that universityIf
