job_title,company_name,company_desc,job_desc,job_requirement,salary,location,employment_type,department,label
Business Development Officer,GroExpo,Management & Business Development,Aggressively build a warm client list for the assets under management,"Minimum academic qualification of HND/Bachelor's Degree in Business operation management or related field.,2 - 3 years of work experience,Proven work experience as an operations specialist or similar role,Knowledge of organizational effectiveness and operations management,Experience in budgeting and forecasting.,Ability to build consensus and relationships among managers, porters, and employees,Excellent communication skills.,Solid understanding of financial management,Leadership ability,Outstanding organizational skills.","Less than 75,000",Remote (Work From Home),Internship & Graduate,"Banking, Finance & Insurance",0
IT Support Specialist,TG-Resource,Human Resources,Provide technical support to staff and clients.,"Minimum of Bachelor's degree in computer science or a related field, 3+ years of experience in IT support, proficiency in troubleshooting hardware and software issues, experience with network administration","350,000","House 2, Odegbami crescent, Olorunsogo, Abeokuta, Ogun State",Full-time,Information Technology,1
Telesales Officer,Checkoff Finance,Sales,Calling potential customers to inform them about Checkoff Finance’s products.,"Good Negotiation skills,Good communication skills,Excellent inter-personal skills","Less than 75,000",Abuja,Full Time,"Banking, Finance & Insurance",0
Project Safety Officer,IVOTEC GLOBAL SERVICES LIMITED,Health & Safety,"Implementation and execution of the operational business plan regarding health, safety, and quality issues.","Minimum academic qualification of BSc/HND in sociology, environmental science, or its equivalent.,3 years of working experience as a practiced Safety Personnel,Must have HSE I-III,Ability to work under tensed pressure,Must have team leader spirit.,Ability to operate Microsoft Office programs,An understanding of HSE Management Systems.,Initiative and drive,Good analytical and problem-solving ability,Team Player,Communication skills,Interpersonal and organizational skills.","75,000 - 150,000",Abeokuta & Ogun State,Full Time,Manufacturing & Warehousing,0
Medical Sales Representative,Sylken Ltd,Medical & Pharmaceutical,Researching competitors’ medications and their respective market performances and reporting from time to time to the marketing team.,"Minimum academic qualification of a Diploma in a medical field,Excellent verbal and written communication skills,Excellent teamwork and networking skills,Strong organizational and time management skills,Highly motivated and the target is driven with a proven track record in sales.","75,000 - 150,000",Abuja,Full Time,Healthcare,0
Retail Marketing Officer,ROYAL EXCHANGE FINANCE COMPANY LIMITED,Marketing & Communications,Aggressively marketing the retail products and services of the company.,"Minimum academic qualification of HND (Minimum Lower Credit minimum) or Bachelor’s Degree (Minimum of Second Class Lower)  in any discipline.,Minimum of 5 years experience in a bank or non-bank financial institution in a marketing role.,Good understanding of the retail market structure in line with the company’s business,Possess strong selling skills,Good writing and oral communication skills,Must be a team player,Must be computer literate,Strong problem-solving and follow-up skills.","250,000 - 400,000",Lagos,Full Time,Energy & Utilities,0
Government and History Teacher,Lagooz Schools,"Research, Teaching & Training",Present lessons in a comprehensive manner and use visual/audio means to facilitate learning,"Minimum of NCE and must be teaching consistently in either public or private schools for at least 3 years.,Teachers’ Registration Council of Nigeria (TRCN) is an added advantage.,Thorough knowledge of teaching best practices and legal educational guidelines partnered with a willingness to follow the school’s policies and procedures,Excellent communicability and interpersonal skills,Well-organized and committed,Creative and energetic,Strong moral values and discipline,Knowledge of CPR.","Less than 75,000",Lagos,Full Time,Education,0
Telesales Agent,MAKA,Sales,Contact potential customers through cold calls,"Excellent knowledge of MS Office,Relationship management skills and openness to feedback,Good Communication and negotiation skills","Less than 75,000",Lagos,Contract,"Retail, Fashion & FMCG",0
Content Creator,Royal Integrated Ventures,Creative & Design,Research industry-related topics,"BSc in Marketing, English, Journalism or a relevant field,Proven work experience as a Content Creator, Copywriter or similar role, Portfolio of published articles,Hands-on experience with Content Management Systems (e.g. WordPress),Excellent writing and editing skills in English,An ability to fact-check long-form content pieces,Time-management skills,Familiarity with SEO","75,000 - 150,000",Lagos,Full Time,"Advertising, Media & Communications",0
Software Developer,HYENA LIMITED,IT,Design and maintain software systems,Bachelor's Degree in Computer Science or related field,"500,000","Starlink House, Suite 202, No. 8/10 Salamotu Eniola Street, Illasa, Lagos State",Full Time,IT & Telecoms,1
Digital Marketing/Sales Executive,Kunbi's Music Company,Marketing & Communications,"Work with management to develop and implement digital marketing strategies, including SEO, PPC, email marketing, and social media advertising","Minimum academic qualification of HND/BSc Degree in any related discipline.,Proven graphic designing experience.,A strong portfolio of illustrations and other graphics.,Familiarity with design software and technologies (such as InDesign,  Dreamweaver, Adobe Packages, and Corel draw),A keen eye for aesthetics and details,Excellent communication skills,Ability to work methodically and meet deadlines","75,000 - 150,000",Lagos,Part Time,Education,0
Project Manager,DODO Design,Product & Project Management,Ensure meetings within the team and clients are successful by:,"Be a problem solver: Analyze any problem in team delivery or project running in detail to uncover any issues that may help identify the root of the matter. Be able to come up with possible solutions to the problem and their respective pros and cons.,Be a good communicator: Who can provide clear instructions and expectations for DODO’s team . Have the ability to speak clearly and concisely with all team members.,Competent in conflict and crisis management,Leadership and management skills,Excellent time and project management skills","250,000 - 400,000",Lagos,Full Time,"Advertising, Media & Communications",0
Supervisor,U&I Artistry,Management & Business Development,"Handle customer questions, complaints, and issues and if necessary, report to the manager and ensure customer satisfaction.","Minimum academic qualification of HND degree in any related courses,Minimum of 2 years of working experience in similar role,Contribute to team effort by accomplishing related tasks as needed.,Ability to work  under minimum supervision,Good communication skills","75,000 - 150,000",Lagos,Full Time,"Retail, Fashion & FMCG",0
Business Development Executive,Mactavis Technologies Limited,Management & Business Development,Familiarizing yourself with all services offered by our company.,"Minimum of 4 years of experience in Sales, Business Development, or a similar role,Great networking skills.,Proficiency in MS Office & CRM software,Excellent verbal and written communication skills,Ability to present and explain ideas to a variety of audiences,Strong organizational and time management skills,Strong customer service skills,Neat, well-groomed appearance.,Ability to sell value and create credibility,Ability to maintain a high level of professionalism and confidentiality","150,000 - 250,000",Lagos,Full Time,IT & Telecoms,0
Customer Service Representative,Developer Directory Ltd,Customer Service & Support,Conducting telesales calls to potential clients in order to gain new clients for the Company and track the pipeline of new clients;,"Minimum academic qualification of a bachelor's Degree or HND in any discipline,Good standard of written and spoken English with excellent phone etiquette.,Previous experience in a customer service role and/or experience of working in Telesales.,Good organization skills and ability to work on own initiative.,Familiarity with Microsoft Office Applications (Outlook, Word, Excel, and PowerPoint).,Familiarity with popular social media platforms and social media content creation.","Less than 75,000",Remote (Work From Home),Contract,IT & Telecoms,0
POS Agent Support,Maezon Global Enterprises,Customer Service & Support,Onboarding of POS Merchants with the focus on business owners,"Minimum academic qualification of NCE, OND or HND,Focus on Customers’ Needs: Anticipate, understand and respond within authorized limits to the needs of the customer,Ethics and Professionalism: Understand and consistently act in line with the company’s culture and ethical code of conduct,Interpersonal Relations and Team Work: Establish and maintain positive working relationships with all staff. Cooperate effectively with others to achieve the company’s goals.,Effective Communication: Listen, speak and write inappropriate manner,Use of Discretion and Decision Making: Assess situations to determine the importance, urgency, and risks, and when in doubt report to your superior for directives.,Time Management: Set priorities, develop a work schedule and ensure completion of assigned duty,Compliance: Adhere strictly to the company’s policies, procedures, and CBN regulations.","Less than 75,000",Lagos,Full Time,Hospitality & Hotel,0
Assistant Researcher,Courage Enterprises LTD,Admin & Office,Researching a wide range of markets and organizations,"Excellent research skills,Excellent interpersonal skills,Strong attention to detail,Confidence to liaise with senior researchers","75,000 - 150,000",Lagos,Full Time,"Advertising, Media & Communications",0
Client Service Manager,Rockgarden Homes,Marketing & Communications,Fulfilling all implementation,"Minimum academic qualification of B.Sc with a minimum of Second-Class Honours (Upper Division) in Human Resources, Marketing, or a related field from a reputable tertiary institution.,Minimum of three (3) years cognate experience in a similar role at a managerial level., Professional certification in Human Resources Management (such as CIPM, SHRM, HRCi, and CIPD) is an added advantage., Full understanding of HR functions and best practices., High level of experience in conflict management and negotiation processes., Corporate Marketing or Sales Experience., Proven track record of meeting and exceeding sales targets., Self-motivated and results-driven., Ability to work independently and in a team environment., Extraordinary Integrity, loyalty, and honesty., Advanced knowledge of Microsoft and ICT tools is highly required for this role., Exceptional oral and written communication skills in English., DODO Design","150,000 - 250,000",Lagos,Full Time,Healthcare,0
Media Specialist,Picturebox-Frames,Marketing & Communications,Media Management for an Art Gallery,"Minimum academic qualification of a Bachelor's degree in any discipline,Innovation skill,Ability to be creative","75,000 - 150,000",Lagos,Full Time,"Retail, Fashion & FMCG",0
Graphic Designer,BEYOND STARDOM NIGERIA LIMITED,Creative & Design,"Create visual concepts, develop designs for various media, work with clients to determine project needs.",Bachelor's degree in Graphic Design or a related field. At least 2 years of experience in graphic design. Proficiency in Adobe Creative Suite.,"100,000 - 150,000","Ille-Ile Bus-Stop, Opposite Skye Bank PLC",Full-time,Creative/Design,1
Account Supervisor/Account Executive,Bons Industries Limited,"Accounting, Auditing & Finance",To keep precise records of incoming and outgoing payments for the organization.,"Minimum of 3yrs work experience gained in a blue-chip company.,Knowledge of accounting basics.,Posting the ledger and preparing the trial balance.,Preparing financial statements.,Proficiency in using accounting software.,Critical thinking.,Communication.","75,000 - 150,000",Enugu,Full Time,Manufacturing & Warehousing,0
Event Housekeeping Supervisor,Copen Group,Hospitality & Leisure,Train housekeepers on cleaning and maintenance tasks,"Work experience as a Housekeeping Supervisor or similar role,Hands-on experience with cleaning and maintenance tasks for large organizations,Ability to use industrial cleaning equipment and products,Excellent organizational and team management skills,Stamina to handle the physical demands of the job.","75,000 - 150,000",Enugu,Full Time,Real Estate,0
Accountant,Copen Group,"Accounting, Auditing & Finance","Gathering, analyzing, and interpreting relevant financial data for the company and its subsidiaries.","Minimum academic qualification of HND in Accounting, Finance, Management, or related field.,Extensive knowledge of accounting and management principles,Excellent communication and interpersonal skills.,Proficiency with computers, especially business solutions and bookkeeping software.,Strong planning and problem-solving skills.,Ability to analyze information and processes.","75,000 - 150,000",Enugu,Full Time,Hospitality & Hotel,0
Architect,TRUSS CONSTRUCTION AND PROPERTIES LIMITED,Building & Architecture,"Control projects from start to finish to ensure high quality, innovation, and functional design implementation.","Minimum of 3 years of working experience in a relevant role,Proven working experience as an Architect,Expert knowledge of building products, construction details, and relevant rules,,Strong imagination and the ability to think and create in three dimensions,Visual awareness and an eye for detail,Communication and project management skills,Excellent drawing skills and familiarity with design software (Adobe Photoshop, SketchUp, 3d Studio VIZ or similar)","75,000 - 150,000",Abuja,Full Time,Real Estate,0
Sales Representative,Fortress Microfinance Bank Ltd,Sales,Generating leads.,"Minimum academic qualification of OND/ BSC.,Experience in sales.,Understanding of the sales process and dynamics.,A commitment to excellent customer service.,Excellent written and verbal communication skills.,Superb interpersonal skills, including the ability to quickly build rapport with both customers and suppliers.,Competency in Microsoft applications including word, excel, and outlook.,Able to work comfortably in a fast-paced environment.","Less than 75,000",Lagos,Full Time,"Banking, Finance & Insurance",0
Sales Representative ,SHOLAM NIGERIA LTD.,Sales,"Achieving sales targets, identifying and converting new leads, and building lasting relationships with customers. ","Bachelor's degree in Marketing, Business Administration or related field.","50,000 - 100,000",Lagos,Full Time,Sales,1
Software Engineer,N-world global Limited,IT,Develop cutting-edge software applications.,"Bachelor's degree in computer science or a related field, 3+ years of experience in software development, proficiency in programming languages such as Java or Python, experience with agile development methodologies",Less than 250000,"No 2 Rumuola/rumuokuta Road 2nd floor opposite success superstores, Port Harcourt",Full-time,Software Development,1
Marketing Manager,Starline Consult Nigeria Ltd,Marketing and Advertising,Oversee marketing department and develop and execute marketing strategies that will drive business growth.,"Bachelor's degree in marketing or a related field, 5+ years of experience in marketing, excellent communication and leadership skills, experience with digital marketing and social media advertising","150,000","Obigbo Road, Aba Road, Port Harcourt, Rivers State",Full-time,Marketing,1
Driver,Intecil,Driver & Transport Services,Safely transporting to and from specified locations in a timely manner.,"Minimum academic qualification of OND,At least 2 years of driving experience,Valid Driver's licence","Less than 75,000",Enugu,Full Time,Manufacturing & Warehousing,0
Software Developer,VISION TECHNOLOGIST RESOURCES,Technology Consulting ,"Design, build, and maintain high-quality software applications for our clients.","Minimum of Bachelor's degree in Computer Science or related field, experience in software development, proficiency in programming languages such as Java, Python, and C++, experience with databases such as MySQL and MongoDB.","300,000 - 500,000",Lagos State,Full-time,Information Technology,1
Graphics Designer,Limepack ApS,Creative & Design,"Handle our incoming design inquiries from customers, with most inquiries taking under 6 min per artwork.","Speak and write English fluently,Experienced in Adobe Illustrator, Adobe, and print graphics,Color Management, CMYK, Pantone, etc.,Following print requirements,Working efficiently,Attention to detail, catching errors that our clients have made or aren't aware of.,Proactive communication skills, warning clients when their design is at risk of not being printed well.,Able to offer appealing new creative solutions to our customers fast,Able to work independently with minimal supervision,Photoshop experience,Prepress experience","250,000 - 400,000",Remote (Work From Home),Full Time,IT & Telecoms,0
Social media Manager,The Puff Shack,Marketing & Communications,Create a social media calendar weekly,"The candidate must have digital marketing experience,Experience in social media management,Experience using Facebook Ad manager,Ability to come to the store twice a week to create content,The candidate must have graphic design skills.","75,000 - 150,000",Lagos,Contract,"Retail, Fashion & FMCG",0
Accountant,PSIS HR BOARD,"Accounting, Auditing & Finance",Manage financial records,Minimum of Bachelor's Degree in Accounting or related field,"200,000","L’monarch Towers, No. 65, Opebi Road, Ikeja, Lagos State",Full Time,Accounting/Finance,1
HR Manager,HUMAN CAPITAL CONSULTANTS (HCC),Human Resources,"Oversee HR operations and develop strategies to attract, retain, and develop top talent","Minimum of Bachelor's degree in Human Resources, Business Administration, or related field, 5+ years of HR experience, preferably in a consulting role, Professional certification in HR (e.g. SHRM, CIPM), Excellent knowledge of HR principles, policies, and procedures, Strong leadership and project management skills, Excellent communication and interpersonal abilities","250,000 - 350,000","Franchise Village, 27 Adeleke Street, Off Allen Avenue, Ikeja, Lagos State",Full-time,Human Resources,1
Librarian,Vivian Fowler Memorial College For Girls,"Research, Teaching & Training","Selecting, developing, cataloging, and classifying library resources","Three (3) - Five (5) years of work experience,Minimum academic qualification of a University Degree in any relevant field","75,000 - 150,000",Lagos,Full Time,Education,0
Nurse,HEALTH STEAM ALLIANCE,Healthcare and Wellness Organization,"Administer medication and provide patient care, Monitor and record patient vital signs, Collaborate with other healthcare professionals to provide quality care, Educate patients on health promotion and disease prevention,  Maintain accurate patient records, Adhere to safety standards and protocols,  Attend trainings and workshops.","Minimum of Bachelor's degree in Nursing or any related field.,Must be a registered nurse with a valid license.,Minimum of 2 years of experience in a healthcare setting.,Good knowledge of patient care, disease prevention, and health promotion.,Strong communication and interpersonal skills., Ability to work in a team environment and under pressure., Proficient in the use of Microsoft Office tools.","120,000","Toyin Street, Ikeja, Lagos State ",Full Time,Healthcare,1
Chef,Dominance Event and Suites,Food Services & Catering,Planning and managing budgets.,"Minimum of 2yrs experience as a cook in a hospitality organization,Minimum of O level or NABTEB Certificate,Excellent cookery skills,Excellent personal grooming,Residence around Kuola Apata Ibadan is an added advantage.","Less than 75,000",Ibadan & Oyo State,Full Time,"Entertainment, Events & Sport",0
Digital Marketing Strategy,Xtreme Mindz Solutions Limited,Marketing & Communications,Develop and execute strategic documents for marketing campaigns.,"Minimum academic qualification of Bachelor’s degree in English, marketing, or a similar field.,Capacity to work independently and collaboratively.,A  proven track record in developing strategic plans  that benefit the client,Experience working in a marketing and Communication Agency,Ability to work with minimal supervision.,Good knowledge of the media and how strategic planning influences it,Ability to work efficiently without compromising quality or accuracy.,Possess broad knowledge of best digital practices.,Proven work experience as a Strategist and Copywriter.","150,000 - 250,000",Lagos,Full Time,"Advertising, Media & Communications",0
Sales Executive,HYENA LIMITED,Marketing and Business,"Develop and maintain relationships with clients, identify sales opportunities, create sales proposals.",Bachelor's degree in any field. At least 2 years of experience in sales. Excellent communication and negotiation skills.,"150,000 - 250,000","Starlink House, Suite 202, No. 8/10 Salamotu Eniola Street, Illasa",Full-time,Sales,1
Marketing Manager,MDL Global,Marketing,Oversee our marketing team.,"Bachelor's degree in Marketing or a related field, At least 5 years of experience in marketing , Excellent communication skills , Strong leadership skills , Experience in branding, advertising, and digital marketing","400,000 - 500,000",Lagos State,Full-time,Marketing,1
Marketer,yinbid agency service ltd,Marketing & Communications,"Handling social media, public relations efforts, and content","Good communication skills, Proven experience in identifying target audiences and in creatively devising and leading, Ability to multitask, Demonstrable the potential and attitude required to learn, Good marketing strategies, Candidates must live preferably within Lagos Island local government","Less than 75,000",Lagos,Full Time,Recruitment,0
Digital Marketing Specialist,Wow Effect Communications,Marketing & Communications,Designing and managing internet marketing campaigns.,"Minimum academic qualification of HND Degree in any relevant field,Minimum of 4 years of working experience in online marketing: SEM, SEO, Social Media Marketing,SEO skills (link building, technical audits, etc.),Strong in Microsoft Excel and Google Analytics,Awareness of industry trends and comfortable writing about them,Experienced in managing client relationships,Web design and programming skills are a plus.","250,000 - 400,000",Lagos,Full Time,"Advertising, Media & Communications",0
HR Manager,PSIS HR BOARD ,Human Resources,Oversee the HR department,"Bachelor's Degree in HR or related field, 5+ years of exp.","300,000","L’monarch Towers, No. 65, Opebi Road, Ikeja, Lagos State",Full Time,Human Resources,1
Human Resources Manager,HUMAN CAPITAL CONSULTANTS,Human Resources,Oversee all aspects of HR operations for our clients.,"Minimum of Bachelor's degree in Human Resources, Business Administration or related field. 5+ years experience in human resources management or related field. Knowledge of HR laws and regulations. Strong communication and leadership skills.","400,000 - 600,000","Franchise villa, 27 adeleke str off allen ikeja",Full-time,Human Resources,1
Sales Representative,NEW STAR METAL INTERNATIONAL LIMITED,Manufacturing,"Developing and maintaining client relationships, generating sales leads, preparing sales reports and forecasts, negotiating sales deals",Bachelor's degree in any field. At least 2 years of experience in sales. Excellent communication and negotiation skills.,"Less than 100,000",Lagos,Part Time,Sales,1
Financial Analyst,WESTCORP Services LTD,"Accounting, Auditing & Finance","Provides accurate and data-based information on company’s profitability, solvency, stability and liquidity. Research and analyze financial information to help our company make well informed decisions, write reports and monitor financial movements. ","Bachelor's degree in Accounting, Finance, Economics or related field.","180,000 - 250,000","6, Deji Oyenuga Street Anthony Bus/Stop, Lagos",Full Time,Accounting/Finance,1
Customer Service Representative ,O'NEAL INCORPORATED ,Customer Service, Handle customer inquiries,"Bachelor's Degree in any field, excellent communication skills ","150,000","1 Babatunde Street, Off Ogunlana Drive, Surulere, Lagos State ",Full Time,Marketing,1
Human Resources Manager,TG-Resource,Human Resources,Oversee HR department and develop and implement HR strategies that align with the company's goals.,"Bachelor's degree in human resources or a related field, 7+ years of experience in HR management, excellent communication and leadership skills, knowledge of HR regulations and best practices","350,000","House 2, Odegbami crescent, Olorunsogo, Abeokuta, Ogun State",Full-time,Human Resources,1
Sales/Marketing Executive,Laderin Nigeria Ltd,Marketing & Communications,Establishes marketing goals based on the company's past performance and market forecasts. products,"Minimum academic qualification of OND, BSC/HND Degree in Marketing and other related disciplines,Minimum of 3 years of work experience as Sales/Marketing Executive. in FMCG,Self-motivated and driven by targets.,Strong communication skills – including both verbal and written.,The ability to influence and negotiate with others.,Competency in Microsoft applications including word, excel, and outlook.","Less than 75,000",Lagos,Full Time,Manufacturing & Warehousing,0
